numRows:10
numCols:10
wrap:False
numFeatures:5
numTraits:15
onlineness:0
prop_agent_online:0.1
agent_online_val:0.1
agents_online:True
online_agent_coords:{(0, 0): 0.1, (1, 7): 0.1, (2, 1): 0.1, (4, 4): 0.1, (4, 6): 0.1, (5, 4): 0.1, (7, 7): 0.1}
ordered_online_agent_coords:[(0, 0), (1, 7), (2, 1), (4, 4), (4, 6), (5, 4), (7, 7)]
online_weights:[0.14285714285714288, 0.14285714285714288, 0.14285714285714288, 0.14285714285714288, 0.14285714285714288, 0.14285714285714288, 0.14285714285714288]
ID: 51, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 52, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 53, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 54, numFeatures: 5, numTraits: 15, onlineness0.1
	Feature vector: [1, 5, 14, 12, 9]
ID: 55, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 56, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 57, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 58, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 59, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 60, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 61, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 62, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 63, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 64, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 65, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 66, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 67, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 68, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 69, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 70, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 71, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 72, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 73, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 74, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 75, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 76, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 77, numFeatures: 5, numTraits: 15, onlineness0.1
	Feature vector: [1, 5, 14, 12, 9]
ID: 78, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 79, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [4, 4, 5, 7, 3]
ID: 80, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 81, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 82, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 83, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 84, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 85, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 86, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 87, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 88, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 89, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [4, 4, 5, 7, 3]
ID: 90, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 91, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 92, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 93, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 94, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 95, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 96, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [12, 4, 9, 13, 1]
ID: 97, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 98, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [4, 4, 5, 7, 3]
ID: 99, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [4, 4, 5, 7, 3]
